time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2012-02-07 09:30:00,0.0,0.0,14000000,14000000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2012-02-07 09:31:00,0.0,-600261.9724999999,13998002.0,13399738.0275,0,0,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 0}",0,600261.9724999999,0,1
2012-02-07 09:32:00,-600261.9724999999,-1200552.7950000002,13996012.4,12799447.205,286937575538.5827,1998.0,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 600290.8224999998}",0,1200552.7950000002,0,2
2012-02-07 09:33:00,-1200552.7950000002,-1809607.7624999997,13994014.700000001,12190392.2375,463485821159.7512,3987.5999999996275,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 1209345.789999999}",0,1809607.7624999997,0,3
2012-02-07 09:34:00,-1809607.7624999997,-2415979.8274999997,13992044.200000001,11584020.1725,585171695389.9617,5985.299999998882,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 1815717.8550000004}",0,2415979.8274999997,0,4
2012-02-07 09:35:00,-2415979.8274999997,-3027976.1125000007,13990103.000000002,10972023.8875,677792551379.8998,7955.799999998882,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 2427714.1400000006}",0,3027976.1125000007,0,5
2012-02-07 09:36:00,-3027976.1125000007,-3638900.7950000004,13988127.800000003,10361099.205,750296723562.9412,9896.999999998137,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 3038638.8225}",0,3638900.7950000004,0,6
2012-02-07 09:37:00,-3638900.7950000004,-4247931.614999999,13986367.500000002,9752068.385000002,808715173871.0944,11872.199999997392,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 3647669.642499998}",0,4247931.614999999,0,7
2012-02-07 09:38:00,-4247931.614999999,-4855932.9725,13984296.400000002,9144067.0275,857034361703.2806,13632.499999998137,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 4255671.0}",0,4855932.9725,0,8
2012-02-07 09:39:00,-4855932.9725,-5451243.6274999995,13982268.650000002,8548756.3725,895946559542.459,15703.599999997765,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 4850981.654999999}",0,5451243.6274999995,0,9
2012-02-07 09:40:00,-5451243.6274999995,-6053980.9825,13980115.500000002,7946019.0175,930156992815.2896,17731.349999997765,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 5453719.01}",0,6053980.9825,0,10
2012-02-07 09:41:00,-6053980.9825,-6655928.174999998,13977921.350000001,7344071.825000002,959768002626.1871,19884.499999998137,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 6055666.202499998}",0,6655928.174999998,0,11
2012-02-07 09:42:00,-6655928.174999998,-7266953.13,13975895.600000001,6733046.87,986786462742.3567,22078.64999999851,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 6666691.1575}",0,7266953.13,0,12
2012-02-07 09:43:00,-7266953.13,-7885105.614999999,13973905.100000001,6114894.385000001,1011587507459.7345,24104.39999999851,"{'maxPortfolioValue': 13399738.0275, 'maxDrawdown': 7284843.642499999}",0,7885105.614999999,0,13
